STATION,STATION_NAME,DATE,TAVG,TMAX,TMIN
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,19600315,-9999,7.2,2.2
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,19600316,-9999,17.8,5.6
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,19600317,-9999,10.0,2.2
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,19600318,-9999,11.1,-0.6
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,19600319,-9999,12.8,0.6
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,19600320,-9999,10.6,0.0
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,19600321,-9999,10.0,-1.7
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,19600322,-9999,21.1,-2.8
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,19600323,-9999,18.3,-2.2
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,19600324,-9999,22.2,2.2
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,19600325,-9999,10.6,3.3
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,19600326,-9999,21.7,4.4
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,19600327,-9999,22.2,4.4
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,19600328,-9999,21.1,13.3
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,19600329,-9999,20.0,16.7
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,19600330,-9999,21.1,10.6
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,19600331,-9999,23.9,6.1
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,19600401,-9999,26.7,8.3
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,19600402,-9999,18.9,16.1
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,19600403,-9999,23.9,13.9
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,19600404,-9999,19.4,9.4
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,19600405,-9999,16.1,5.0
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,19600406,-9999,26.1,2.2
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,19600407,-9999,27.2,12.2
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,19600408,-9999,23.9,9.4
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,19600409,-9999,18.3,6.1
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,19600410,-9999,14.4,-0.6
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,19600411,-9999,22.2,0.6
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,19600412,-9999,26.7,6.1
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,19600413,-9999,27.2,8.9
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,19600414,-9999,27.8,11.7
GHCND:USW00013876,BIRMINGHAM AIRPORT AL US,19600415,-9999,26.7,13.3
